Id,SalePrice
1461,122127.470318201
1462,164394.36256506143
1463,186421.9335369353
1464,199300.0289007855
1465,209900.25334253814
1466,171921.19376767473
1467,179575.89805988694
1468,162655.95558361616
1469,207729.30052413355
1470,113863.76978395064
1471,168991.26393656625
1472,100879.49728124781
1473,94618.98763413104
1474,141652.50756315578
1475,99085.66353376606
1476,376021.53740965767
1477,261307.05249248527
1478,303253.35432547244
1479,301827.28865547926
1480,469261.1579434679
1481,315105.47262234974
1482,212271.01067305455
1483,178656.70051911712
1484,161088.9870209872
1485,185187.16110314825
1486,200496.0717980208
1487,334725.45891678915
1488,246103.64568052045
1489,204493.84383605694
1490,258945.84177198337
1491,203021.58721462032
1492,98282.52489000815
1493,200679.9790243507
1494,298693.8541235984
1495,287235.56637337204
1496,244905.99830968963
1497,174676.40748230822
1498,167363.64527257375
1499,159653.88959563203
1500,153518.69080433156
1501,191657.42518617847
1502,138321.78166788543
1503,288590.3635141792
1504,236352.1532941194
1505,226557.1522609198
1506,188374.43413044134
1507,258575.9206995489
1508,204016.5199608857
1509,156625.09995235375
1510,142236.63918818388
1511,151903.01204098726
1512,179670.92593889678
1513,147961.7778377931
1514,165612.76158782042
1515,210696.35691679543
1516,158612.40722671378
1517,181649.72546829615
1518,119032.683604447
1519,225101.59370356164
1520,121854.73686708184
1521,131458.98176212073
1522,189198.32594318193
1523,105314.70792228187
1524,123287.2090604296
1525,114710.81553985365
1526,92790.14314821787
1527,106777.19376510684
1528,141965.38097673643
1529,162094.65518145298
1530,217481.85962133278
1531,123537.56636581576
1532,104212.96008612722
1533,167739.5345589231
1534,127562.5220126973
1535,159724.85303361027
1536,103367.14439991309
1537,51648.23967948288
1538,155999.4609434617
1539,204535.08019835333
1540,128727.97534073604
1541,140082.92075450224
1542,160227.89637352148
1543,198573.89982419746
1544,81300.98074037238
1545,121330.29016120447
1546,145063.73881490895
1547,144504.4143545929
1548,149441.4657854513
1549,131885.8702641718
1550,145820.2726720441
1551,115871.35674618883
1552,152026.87682151276
1553,162575.79673248087
1554,122274.04497410147
1555,169342.2554364634
1556,80500.61749200744
1557,122324.86763872526
1558,105703.97473974916
1559,65035.27170493797
1560,126972.90306561626
1561,133471.36730795406
1562,137831.76656364044
1563,126207.42356851982
1564,159413.09470165888
1565,153195.49150854192
1566,243902.24750467652
1567,69868.91949416924
1568,234641.00993437757
1569,138502.1781493947
1570,130774.3937798973
1571,113865.26622612868
1572,147468.97267553885
1573,249678.5562496666
1574,129074.17615201377
1575,248755.82577050268
1576,249127.8128647635
1577,186787.75232643593
1578,144528.65306728886
1579,139936.1088773717
1580,195741.77229110687
1581,150440.56409741467
1582,128489.56647748413
1583,283622.4966039621
1584,224428.8936958103
1585,134520.65292230167
1586,60311.74806651857
1587,103429.75989543716
1588,163671.15021875215
1589,103851.442579492
1590,128615.67164396436
1591,90907.03338757239
1592,132069.72828465665
1593,123504.81358425872
1594,144610.64535196975
1595,119291.1689556156
1596,227488.36355950765
1597,206493.6962791796
1598,206950.4346624352
1599,179326.18355341023
1600,160158.3621248154
1601,61220.14578607847
1602,134804.43688325374
1603,58187.617922086734
1604,271579.4206845202
1605,230692.15534875158
1606,160072.82633632817
1607,174169.54445917095
1608,196728.96319803532
1609,194549.79757510737
1610,155609.64902040915
1611,132568.69252912456
1612,191881.94324730168
1613,167642.37796946598
1614,145780.68194075587
1615,99061.10868117824
1616,74427.33678078029
1617,81472.53474604385
1618,127882.41159018455
1619,145236.55790367135
1620,176590.81121533964
1621,134182.25499671715
1622,145369.28123327636
1623,262839.46916346415
1624,211344.79241629265
1625,116156.92351800163
1626,171936.37171991298
1627,197414.52872977848
1628,277839.2575045094
1629,180227.5704648592
1630,362859.48356012284
1631,235613.6818276593
1632,247549.8191748787
1633,179733.58082383394
1634,186049.07910565299
1635,170589.2735500299
1636,150720.88383696292
1637,206843.7412355839
1638,174670.33596420556
1639,187741.08503630885
1640,245505.32801031042
1641,188821.25642403384
1642,261549.24454452732
1643,216069.7989461919
1644,229228.77496562712
1645,224672.6584027888
1646,163658.88867973723
1647,156713.86662017344
1648,127027.90918646188
1649,130309.72722791164
1650,107798.10177167953
1651,116943.59125339071
1652,98597.81351608684
1653,100056.38754659862
1654,140187.1453943915
1655,128600.7139463849
1656,137230.57124860486
1657,148487.06328255584
1658,140960.22627554537
1659,116039.30163485464
1660,147790.08286395168
1661,423645.88793729537
1662,378563.9095122526
1663,379000.5414307614
1664,466307.40474321734
1665,330138.54825699236
1666,334879.9978645413
1667,366563.36447552
1668,363443.62760222645
1669,316478.1887956589
1670,356729.4062309049
1671,270960.876438164
1672,404780.3419547812
1673,291686.95047188195
1674,246322.08493212727
1675,208066.95958175877
1676,212060.00037092261
1677,219193.66012745508
1678,462452.20284081367
1679,380139.4829634224
1680,339052.11080513085
1681,283733.2577819016
1682,318155.8645365644
1683,195845.03684815892
1684,175385.42902516236
1685,176273.9464939874
1686,159669.01312510448
1687,173751.38148829265
1688,194074.8546435468
1689,195372.06527606095
1690,195037.10567084642
1691,183160.78990360856
1692,254199.47505675547
1693,174063.50793217792
1694,184561.92713062314
1695,175825.6093349199
1696,261961.023581505
1697,179097.24637362012
1698,346258.36969652836
1699,323971.1154521684
1700,271734.1585785397
1701,277954.7027146811
1702,243474.15688161761
1703,234598.3339660858
1704,280151.380554006
1705,252950.676347684
1706,242993.70362860232
1707,228005.0855039765
1708,206845.62431310466
1709,252779.751313438
1710,225330.49513777276
1711,270562.97377993044
1712,257001.50274095568
1713,283314.8393257526
1714,226089.65103867924
1715,208919.90457765758
1716,184888.39253637212
1717,174823.2455255607
1718,151829.03929603513
1719,230161.54872462357
1720,247439.20843279426
1721,159508.01591596374
1722,129611.80357398989
1723,157678.0861728363
1724,221821.68447062658
